fold,n_valid,gamma,lambda_,SSE,RMSE
4,102,0.0625,1e-06,160.66336283971287,0.34808608663689894
4,102,0.0625,1e-05,112.66223033232984,0.29148580515970274
4,102,0.0625,0.0001,88.46891417428152,0.25829951246660104
4,102,0.0625,0.001,106.11864720852242,0.2828942306018004
4,102,0.0625,0.01,147.52037146460376,0.33354484782222454
4,102,0.0625,0.1,180.10412400621482,0.3685446122607226
4,102,0.0625,1.0,326.2240431563556,0.4960051901795327
4,102,0.0625,10.0,704.556687502725,0.728930644845251
4,102,0.0625,100.0,883.6471773673834,0.8163336243533719
4,102,0.125,1e-06,177.6176328802419,0.36599173403477464
4,102,0.125,1e-05,147.53436742959,0.33356066994646677
4,102,0.125,0.0001,104.09148424394107,0.28017916623387457
4,102,0.125,0.001,91.90981185263809,0.26327473027101284
4,102,0.125,0.01,126.52043492503014,0.3088933623354418
4,102,0.125,0.1,164.65859334457608,0.35238745445567393
4,102,0.125,1.0,255.87969535233083,0.43928477396073456
4,102,0.125,10.0,605.2372760036022,0.6756022261855339
4,102,0.125,100.0,860.8332842627933,0.8057267146245826
4,102,0.25,1e-06,168.60433661741914,0.356584620696842
4,102,0.25,1e-05,161.44694172670103,0.34893388774107814
4,102,0.25,0.0001,133.8474011103496,0.31771170079061956
4,102,0.25,0.001,99.45699700037106,0.2738709126076137
4,102,0.25,0.01,106.98693531276179,0.2840492268650379
4,102,0.25,0.1,149.5933171874815,0.3358801467667708
4,102,0.25,1.0,214.4511034364584,0.4021539887230962
4,102,0.25,10.0,508.1853152200843,0.6190693370353427
4,102,0.25,100.0,827.9064874981507,0.790166986713262
4,102,0.5,1e-06,155.60052135119224,0.34255772195967543
4,102,0.5,1e-05,154.72823048045046,0.34159618941340303
4,102,0.5,0.0001,148.00405080186704,0.33409120195408837
4,102,0.5,0.001,124.692926398941,0.3066543620051049
4,102,0.5,0.01,106.32933725503122,0.2831749232286893
4,102,0.5,0.1,135.98363691009519,0.3202370409175638
4,102,0.5,1.0,194.5339160918171,0.38302392532241963
4,102,0.5,10.0,437.2060546127793,0.5742107539084033
4,102,0.5,100.0,792.7258829903635,0.7731962822873367
4,102,1.0,1e-06,155.18956037658137,0.3421050533885504
4,102,1.0,1e-05,155.08805972872347,0.34199315937951996
4,102,1.0,0.0001,154.11791790199078,0.3409218249474258
4,102,1.0,0.001,147.22395420659467,0.33320957831655507
4,102,1.0,0.01,129.2672662594034,0.3122284838676851
4,102,1.0,0.1,135.3182432234492,0.3194525898816417
4,102,1.0,1.0,194.48472029156653,0.3829754906834485
4,102,1.0,10.0,415.976083277925,0.5600959323655477
